Label,FilmSimulation,Grain,CCFx/CCFxB,WhiteBalance,WBShiftR,WBShiftB,DynamicRange,HighlightTone,ShadowTone,Color,Sharpness,NoisReduction,ExposureBias
JP Chrome Travel,Classic,WEAK,OFF,Auto,0,0,AUTO,-2,1,3,-2,-4,0
KM Street,Classic,OFF,OFF,Auto,0,0,AUTO,-1,2,-1,1,0,0
LC Color,Classic,STRONG L,OFF/WEAK,Auto,4,-4,200,1,0,3,0,-4,M0M33
LC Color,Classic,OFF,OFF,Auto,4,-5,200,1,1,3,0,-4,M0M33
MT Classic Chrome,Classic,OFF,STRONG/OFF,Auto,0,0,STRONG,0,0,-1,0,0,0
PE Chrome Eggleston,Classic,OFF,OFF,Auto,0,0,AUTO,2,2,-2,-1,-3,0
PS Kodak Portra 160,Classic,OFF,OFF,FLight1,-1,-1,AUTO,-2,0,2,-2,-2,P1P00
RR Agfacolor Vintage,Classic,STRONG,OFF,Auto,-3,-4,AUTO,2,1,-4,0,-3,M0M33
RR Bleach Bypass 1/2,Classic,STRONG,STRONG/OFF,Auto,-1,3,200,3,4,2,1,-4,P0P33
RR Classic Chrome,Classic,WEAK,OFF,Auto,1,-1,200,-1,1,2,2,-2,P0P67
RR Classic Slide,Classic,WEAK,OFF,Daylight,-2,3,400,1,2,0,1,-4,P0P67
RR Cross Process,Classic,WEAK,OFF,7700K,-8,-3,400,4,-1,3,1,-4,M0M33
RR Dramatic Classic Chrome,Classic,STRONG,OFF,Auto,-1,1,AUTO,3,3,0,1,-3,P0P33
RR Elite Chrome 200 Color Fade,Classic,STRONG,STRONG/OFF,8300K,4,8,200,0,2,-2,-4,2,0
RR Faded Color,Classic,STRONG,STRONG/OFF,Auto,0,0,100,3,4,4,2,-4,P0P33
RR Kodachrome 64,Classic,WEAK,WEAK/OFF,Daylight,2,-5,400,1,2,0,2,-4,P0P33
RR Kodachrome II,Classic,WEAK,OFF,Auto,3,-4,200,1,2,-1,1,-3,P0P33
RR Kodachrome Vintage,Classic,STRONG,OFF,Auto,2,-4,200,4,-2,4,1,-3,M0M33
RR Kodacolor,Classic,STRONG,OFF,6300K,-1,-4,400,-1,2,-2,2,-4,P0P67
